date,season,confederation,league,stage,home_team,away_team,home_score,away_score
,2020,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 New York City FC,UANL Tigres,0,1
,2020,CONCACAF,CONCACAF Champions League,Quarterfinals,20.30 CF América,Atlanta United FC,3,0
,2020,CONCACAF,CONCACAF Champions League,Quarterfinals,21.30 Los Angeles FC,Cruz Azul,2,1
,2020,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 Olimpia,Impact de Montréal,0,1
,2020,CONCACAF,CONCACAF Champions League,Quarterfinals,21.30 UANL Tigres,New York City FC,4,0
,2020,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 Atlanta United FC,CF América,1,0
,2020,CONCACAF,CONCACAF Champions League,Semifinals,19.00 UANL Tigres,Olimpia,3,0
,2020,CONCACAF,CONCACAF Champions League,Semifinals,21.30 Los Angeles FC,CF América,3,1
,2020,CONCACAF,CONCACAF Champions League,Final,21.00 Los Angeles FC,UANL Tigres,1,2
,2021,CONCACAF,CONCACAF Champions League,Round of 16,17.00 Marathón,Portland Timbers,2,2
,2021,CONCACAF,CONCACAF Champions League,Round of 16,19.00 LD Alajuelense,Atlanta United FC,0,1
,2021,CONCACAF,CONCACAF Champions League,Round of 16,21.00 Arcahaie FC,Cruz Azul,0,0
,2021,CONCACAF,CONCACAF Champions League,Round of 16,17.00 Deportivo Saprissa,Philadelphia Union,0,1
,2021,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Club León,Toronto FC,1,1
,2021,CONCACAF,CONCACAF Champions League,Round of 16,21.00 Olimpia,CF América,1,2
,2021,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Real Estelí FC,Columbus Crew,0,4
,2021,CONCACAF,CONCACAF Champions League,Round of 16,21.00 CD Pantoja,CF Monterrey,0,3
,2021,CONCACAF,CONCACAF Champions League,Round of 16,17.00 Atlanta United FC,LD Alajuelense,1,0
,2021,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Portland Timbers,Marathón,5,0
,2021,CONCACAF,CONCACAF Champions League,Round of 16,21.00 Cruz Azul,Arcahaie FC,8,0
,2021,CONCACAF,CONCACAF Champions League,Round of 16,17.00 Toronto FC,Club León,2,1
,2021,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Philadelphia Union,Deportivo Saprissa,4,0
,2021,CONCACAF,CONCACAF Champions League,Round of 16,CF América,Olimpia,0,1
,2021,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Columbus Crew,Real Estelí FC,1,0
,2021,CONCACAF,CONCACAF Champions League,Round of 16,21.00 CF Monterrey,CD Pantoja,3,1
,2021,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 Atlanta United FC,Philadelphia Union,0,3
,2021,CONCACAF,CONCACAF Champions League,Quarterfinals,21.00 Toronto FC,Cruz Azul,1,3
,2021,CONCACAF,CONCACAF Champions League,Quarterfinals,19.30 Columbus Crew,CF Monterrey,2,2
,2021,CONCACAF,CONCACAF Champions League,Quarterfinals,21.30 Portland Timbers,CF América,1,1
,2021,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 Philadelphia Union,Atlanta United FC,1,1
,2021,CONCACAF,CONCACAF Champions League,Quarterfinals,21.15 Cruz Azul,Toronto FC,1,0
,2021,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 CF Monterrey,Columbus Crew,3,0
,2021,CONCACAF,CONCACAF Champions League,Quarterfinals,21.15 CF América,Portland Timbers,3,1
,2021,CONCACAF,CONCACAF Champions League,Semifinals,21.00 CF Monterrey,Cruz Azul,1,0
,2021,CONCACAF,CONCACAF Champions League,Semifinals,21.00 CF América,Philadelphia Union,2,0
,2021,CONCACAF,CONCACAF Champions League,Semifinals,20.00 Philadelphia Union,CF América,0,2
,2021,CONCACAF,CONCACAF Champions League,Semifinals,21.00 Cruz Azul,CF Monterrey,1,4
,2021,CONCACAF,CONCACAF Champions League,Final,21.00 CF Monterrey,CF América,1,0
,2022,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Santos de Guápiles,New York City FC,0,2
,2022,CONCACAF,CONCACAF Champions League,Round of 16,21.00 Santos Laguna,CF Montréal,1,0
,2022,CONCACAF,CONCACAF Champions League,Round of 16,17.00 Deportivo Guastatoya,Club León,0,2
,2022,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Forge FC,Cruz Azul,0,1
,2022,CONCACAF,CONCACAF Champions League,Round of 16,21.00 Deportivo Saprissa,Pumas UNAM,2,2
,2022,CONCACAF,CONCACAF Champions League,Round of 16,18.00 Comunicaciones,Colorado Rapids,1,0
,2022,CONCACAF,CONCACAF Champions League,Round of 16,20.00 Motagua,Seattle Sounders,0,0
,2022,CONCACAF,CONCACAF Champions League,Round of 16,16.30 Cavaly AS,New England Revolution,0,3
,2022,CONCACAF,CONCACAF Champions League,Round of 16,New England Revolution,Cavaly AS,3,0
,2022,CONCACAF,CONCACAF Champions League,Round of 16,21.15 Club León,Deportivo Guastatoya,1,0
,2022,CONCACAF,CONCACAF Champions League,Round of 16,17.00 New York City FC,Santos de Guápiles,4,0
,2022,CONCACAF,CONCACAF Champions League,Round of 16,19.15 CF Montréal,Santos Laguna,3,0
,2022,CONCACAF,CONCACAF Champions League,Round of 16,Colorado Rapids,Comunicaciones,3,4
,2022,CONCACAF,CONCACAF Champions League,Round of 16,21.30 Pumas UNAM,Deportivo Saprissa,4,1
,2022,CONCACAF,CONCACAF Champions League,Round of 16,19.30 Cruz Azul,Forge FC,3,1
,2022,CONCACAF,CONCACAF Champions League,Round of 16,21.45 Seattle Sounders,Motagua,5,0
,2022,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 New York City FC,Comunicaciones,3,1
,2022,CONCACAF,CONCACAF Champions League,Quarterfinals,21.00 Seattle Sounders,Club León,3,0
,2022,CONCACAF,CONCACAF Champions League,Quarterfinals,19.00 New England Revolution,Pumas UNAM,3,0
,2022,CONCACAF,CONCACAF Champions League,Quarterfinals,21.00 Cruz Azul,CF Montréal,1,0
,2022,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Comunicaciones,New York City FC,4,2
,2022,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 CF Montréal,Cruz Azul,1,1
,2022,CONCACAF,CONCACAF Champions League,Quarterfinals,20.15 Pumas UNAM,New England Revolution,3,0
,2022,CONCACAF,CONCACAF Champions League,Quarterfinals,18.30 Club León,Seattle Sounders,1,1
,2022,CONCACAF,CONCACAF Champions League,Semifinals,21.00 Pumas UNAM,Cruz Azul,2,1
,2022,CONCACAF,CONCACAF Champions League,Semifinals,21.00 Seattle Sounders,New York City FC,3,1
,2022,CONCACAF,CONCACAF Champions League,Semifinals,21.00 Cruz Azul,Pumas UNAM,0,0
,2022,CONCACAF,CONCACAF Champions League,Semifinals,20.00 New York City FC,Seattle Sounders,1,1
,2022,CONCACAF,CONCACAF Champions League,Final,21.30 Pumas UNAM,Seattle Sounders,2,2
,2022,CONCACAF,CONCACAF Champions League,Final,21.00 Seattle Sounders,Pumas UNAM,3,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,16.00 KMKM,St. George SC,1,2
,2023-24,CAF,CAF Champions League,Qual. Round 1,22.00 CS Constantine,Étoile du Sahel,0,2
,2023-24,CAF,CAF Champions League,Qual. Round 1,15.30 Djabal Club,Orlando Pirates,0,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,16.00 APR FC,Gaadiidka FC,1,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,African Stars,Power Dynamos,2,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,17.30 CS Bendjé,Bumamuru FC,1,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,19.00 Bo Rangers,LISCR FC,1,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,AS Real Bamako,Coton Sport Garoua,0,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,16.00 UD Songo,Green Mamba FC,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,Jwaneng Galaxy,Vipers SC,2,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,17.00 CD 1º de Agosto,AS Vita Club,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,AS Ali Sabieh,Young Africans,0,2
,2023-24,CAF,CAF Champions League,Qual. Round 1,17.30 AS Otôho,Al Merrikh SC,1,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,18.00 Medeama SC,Remo Stars,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,Dragons Bata,Big Bullets FC,0,2
,2023-24,CAF,CAF Champions League,Qual. Round 1,ASKO Kara,FAR de Rabat,0,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,19.00 Hafia FC,AS Génération Foot,0,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,Coton FC,ASEC Mimosas,0,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,FC Nouadhibou,Al Ahly Tripolis,2,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,20.00 Al Ahly Benghazi,Enyimba Aba,4,3
,2023-24,CAF,CAF Champions League,Qual. Round 1,21.00 Wau Salaam FC,Al Hilal Omdurman,0,3
,2023-24,CAF,CAF Champions League,Qual. Round 1,16.00 AS GNN Niamey,AS Douanes,0,3
,2023-24,CAF,CAF Champions League,Qual. Round 1,16.00 Gaadiidka FC,APR FC,0,2
,2023-24,CAF,CAF Champions League,Qual. Round 1,15.00 Bumamuru FC,CS Bendjé,5,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,16.00 Al Merrikh SC,AS Otôho,0,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,20.30 Orlando Pirates,Djabal Club,3,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,16.00 Power Dynamos,African Stars,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,Green Mamba FC,UD Songo,1,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,Al Hilal Omdurman,Wau Salaam FC,3,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,17.00 Young Africans,AS Ali Sabieh,5,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,18.00 Étoile du Sahel,CS Constantine,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,20.00 Vipers SC,Jwaneng Galaxy,2,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,22.00 FAR de Rabat,ASKO Kara,7,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,16.00 St. George SC,KMKM,3,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,Big Bullets FC,Dragons Bata,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,17.00 Enyimba Aba,Al Ahly Benghazi,0,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,Coton Sport Garoua,AS Real Bamako,0,2
,2023-24,CAF,CAF Champions League,Qual. Round 1,AS Vita Club,CD 1º de Agosto,1,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,18.00 Remo Stars,Medeama SC,2,3
,2023-24,CAF,CAF Champions League,Qual. Round 1,Al Ahly Tripolis,FC Nouadhibou,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,18.30 LISCR FC,Bo Rangers,0,1
,2023-24,CAF,CAF Champions League,Qual. Round 1,19.00 ASEC Mimosas,Coton FC,2,0
,2023-24,CAF,CAF Champions League,Qual. Round 1,22.00 AS Génération Foot,Hafia FC,2,2
,2023-24,CAF,CAF Champions League,Qual. Round 1,19.00 AS Douanes,AS GNN Niamey,3,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,16.00 Bumamuru FC,Mamelodi Sundowns,0,4
,2023-24,CAF,CAF Champions League,Qual. Round 2,16.00 Power Dynamos,Simba SC,2,2
,2023-24,CAF,CAF Champions League,Qual. Round 2,Al Merrikh SC,Young Africans,0,2
,2023-24,CAF,CAF Champions League,Qual. Round 2,18.00 Étoile du Sahel,FAR de Rabat,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,19.00 AS Real Bamako,FC Nouadhibou,0,3
,2023-24,CAF,CAF Champions League,Qual. Round 2,16.00 APR FC,Pyramids FC,0,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,UD Songo,Petro Atlético,1,2
,2023-24,CAF,CAF Champions League,Qual. Round 2,Big Bullets FC,TP Mazembe,0,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,Jwaneng Galaxy,Orlando Pirates,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,18.00 Medeama SC,Horoya AC,3,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,CD 1º de Agosto,Al Hilal Omdurman,0,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,19.00 Hafia FC,Wydad AC,1,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,AS Douanes,Espérance de Tunis,0,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,Bo Rangers,CR Bélouizdad,1,3
,2023-24,CAF,CAF Champions League,Qual. Round 2,17.30 Al Ahly Benghazi,ASEC Mimosas,0,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,20.00 St. George SC,Al Ahly SC,0,3
,2023-24,CAF,CAF Champions League,Qual. Round 2,18.00 Pyramids FC,APR FC,6,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,19.00 Al Ahly SC,St. George SC,4,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,20.30 Orlando Pirates,Jwaneng Galaxy,4,5
,2023-24,CAF,CAF Champions League,Qual. Round 2,16.00 TP Mazembe,Big Bullets FC,4,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,17.00 Petro Atlético,UD Songo,3,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,19.00 Espérance de Tunis,AS Douanes,0,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,Horoya AC,Medeama SC,2,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,Mamelodi Sundowns,Bumamuru FC,2,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,Young Africans,Al Merrikh SC,1,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,21.30 FAR de Rabat,Étoile du Sahel,1,2
,2023-24,CAF,CAF Champions League,Qual. Round 2,22.00 Wydad AC,Hafia FC,3,0
,2023-24,CAF,CAF Champions League,Qual. Round 2,16.00 Simba SC,Power Dynamos,1,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,19.00 ASEC Mimosas,Al Ahly Benghazi,2,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,21.00 FC Nouadhibou,AS Real Bamako,1,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,Al Hilal Omdurman,CD 1º de Agosto,2,1
,2023-24,CAF,CAF Champions League,Qual. Round 2,20.00 CR Bélouizdad,Bo Rangers,3,1
,2023-24,CAF,CAF Champions League,Group A,18.00 Pyramids FC,TP Mazembe,1,0
,2023-24,CAF,CAF Champions League,Group A,15.00 Mamelodi Sundowns,FC Nouadhibou,3,0
,2023-24,CAF,CAF Champions League,Group A,15.00 TP Mazembe,Mamelodi Sundowns,1,0
,2023-24,CAF,CAF Champions League,Group A,18.00 FC Nouadhibou,Pyramids FC,2,0
,2023-24,CAF,CAF Champions League,Group A,18.00 FC Nouadhibou,TP Mazembe,0,0
,2023-24,CAF,CAF Champions League,Group A,15.00 Mamelodi Sundowns,Pyramids FC,0,0
,2023-24,CAF,CAF Champions League,Group A,15.00 TP Mazembe,FC Nouadhibou,2,0
,2023-24,CAF,CAF Champions League,Group A,18.00 Pyramids FC,Mamelodi Sundowns,0,1
,2023-24,CAF,CAF Champions League,Group A,15.00 TP Mazembe,Pyramids FC,3,0
,2023-24,CAF,CAF Champions League,Group A,18.00 FC Nouadhibou,Mamelodi Sundowns,0,2
,2023-24,CAF,CAF Champions League,Group A,15.00 Pyramids FC,FC Nouadhibou,2,2
,2023-24,CAF,CAF Champions League,Group A,Mamelodi Sundowns,TP Mazembe,1,0
,2023-24,CAF,CAF Champions League,Group B,15.00 Simba SC,ASEC Mimosas,1,1
,2023-24,CAF,CAF Champions League,Group B,21.00 Wydad AC,Jwaneng Galaxy,0,1
,2023-24,CAF,CAF Champions League,Group B,15.00 Jwaneng Galaxy,Simba SC,0,0
,2023-24,CAF,CAF Champions League,Group B,21.00 ASEC Mimosas,Wydad AC,1,0
,2023-24,CAF,CAF Champions League,Group B,15.00 Jwaneng Galaxy,ASEC Mimosas,0,2
,2023-24,CAF,CAF Champions League,Group B,21.00 Wydad AC,Simba SC,1,0
,2023-24,CAF,CAF Champions League,Group B,15.00 Simba SC,Wydad AC,2,0
,2023-24,CAF,CAF Champions League,Group B,18.00 ASEC Mimosas,Jwaneng Galaxy,3,0
,2023-24,CAF,CAF Champions League,Group B,21.00 ASEC Mimosas,Simba SC,0,0
,2023-24,CAF,CAF Champions League,Group B,15.00 Jwaneng Galaxy,Wydad AC,0,1
,2023-24,CAF,CAF Champions League,Group B,18.00 Wydad AC,ASEC Mimosas,1,0
,2023-24,CAF,CAF Champions League,Group B,Simba SC,Jwaneng Galaxy,6,0
,2023-24,CAF,CAF Champions League,Group C,18.00 Petro Atlético,Al Hilal Omdurman,1,0
,2023-24,CAF,CAF Champions League,Group C,Espérance de Tunis,Étoile du Sahel,2,0
,2023-24,CAF,CAF Champions League,Group C,18.00 Al Hilal Omdurman,Espérance de Tunis,3,1
,2023-24,CAF,CAF Champions League,Group C,21.00 Étoile du Sahel,Petro Atlético,0,2
,2023-24,CAF,CAF Champions League,Group C,21.00 Étoile du Sahel,Al Hilal Omdurman,1,0
,2023-24,CAF,CAF Champions League,Group C,21.00 Espérance de Tunis,Petro Atlético,0,0
,2023-24,CAF,CAF Champions League,Group C,18.00 Petro Atlético,Espérance de Tunis,0,0
,2023-24,CAF,CAF Champions League,Group C,21.00 Al Hilal Omdurman,Étoile du Sahel,1,1
,2023-24,CAF,CAF Champions League,Group C,18.00 Al Hilal Omdurman,Petro Atlético,0,0
,2023-24,CAF,CAF Champions League,Group C,21.00 Étoile du Sahel,Espérance de Tunis,0,2
,2023-24,CAF,CAF Champions League,Group C,21.00 Espérance de Tunis,Al Hilal Omdurman,1,0
,2023-24,CAF,CAF Champions League,Group C,Petro Atlético,Étoile du Sahel,2,0
,2023-24,CAF,CAF Champions League,Group D,21.00 CR Bélouizdad,Young Africans,3,0
,2023-24,CAF,CAF Champions League,Group D,21.00 Al Ahly SC,Medeama SC,3,0
,2023-24,CAF,CAF Champions League,Group D,18.00 Medeama SC,CR Bélouizdad,2,1
,2023-24,CAF,CAF Champions League,Group D,18.00 Young Africans,Al Ahly SC,1,1
,2023-24,CAF,CAF Champions League,Group D,18.00 Al Ahly SC,CR Bélouizdad,0,0
,2023-24,CAF,CAF Champions League,Group D,Medeama SC,Young Africans,1,1
,2023-24,CAF,CAF Champions League,Group D,15.00 Young Africans,Medeama SC,3,0
,2023-24,CAF,CAF Champions League,Group D,21.00 CR Bélouizdad,Al Ahly SC,0,0
,2023-24,CAF,CAF Champions League,Group D,18.00 Medeama SC,Al Ahly SC,0,1
,2023-24,CAF,CAF Champions League,Group D,18.00 Young Africans,CR Bélouizdad,4,0
,2023-24,CAF,CAF Champions League,Group D,18.00 Al Ahly SC,Young Africans,1,0
,2023-24,CAF,CAF Champions League,Group D,CR Bélouizdad,Medeama SC,3,0
,2023-24,CAF,CAF Champions League,Quarterfinals,20.00 Simba SC,Al Ahly SC,0,1
,2023-24,CAF,CAF Champions League,Quarterfinals,15.00 TP Mazembe,Petro Atlético,0,0
,2023-24,CAF,CAF Champions League,Quarterfinals,20.00 Young Africans,Mamelodi Sundowns,0,0
,2023-24,CAF,CAF Champions League,Quarterfinals,23.00 Espérance de Tunis,ASEC Mimosas,0,0
,2023-24,CAF,CAF Champions League,Quarterfinals,20.00 Mamelodi Sundowns,Young Africans,3,2
,2023-24,CAF,CAF Champions League,Quarterfinals,22.00 Al Ahly SC,Simba SC,2,0
,2023-24,CAF,CAF Champions League,Quarterfinals,18.00 Petro Atlético,TP Mazembe,1,2
,2023-24,CAF,CAF Champions League,Quarterfinals,22.00 ASEC Mimosas,Espérance de Tunis,1,4
,2023-24,CAF,CAF Champions League,Semifinals,15.00 TP Mazembe,Al Ahly SC,0,0
,2023-24,CAF,CAF Champions League,Semifinals,21.00 Espérance de Tunis,Mamelodi Sundowns,1,0
,2023-24,CAF,CAF Champions League,Semifinals,21.00 Mamelodi Sundowns,Espérance de Tunis,0,1
,2023-24,CAF,CAF Champions League,Semifinals,22.00 Al Ahly SC,TP Mazembe,3,0
,2023-24,CAF,CAF Champions League,Final,22.00 Espérance de Tunis,Al Ahly SC,0,0
,2023-24,CAF,CAF Champions League,Final,20.00 Al Ahly SC,Espérance de Tunis,1,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,17.00 Violette AC,Austin FC,3,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Alianza,Philadelphia Union,0,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,21.00 UANL Tigres,Orlando City,0,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,17.00 Tauro FC,Club León,0,1
,2023,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Olimpia,Atlas Guadalajara,4,1
,2023,CONCACAF,CONCACAF Champions League,Round of 16,21.00 Vancouver Whitecaps,Real España,5,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,19.00 Motagua,CF Pachuca,0,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,21.00 LD Alajuelense,Los Angeles FC,0,3
,2023,CONCACAF,CONCACAF Champions League,Round of 16,18.00 Austin FC,Violette AC,2,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,Philadelphia Union,Alianza,4,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,20.15 Atlas Guadalajara,Olimpia,4,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,16.00 Real España,Vancouver Whitecaps,3,2
,2023,CONCACAF,CONCACAF Champions League,Round of 16,18.15 Orlando City,UANL Tigres,1,1
,2023,CONCACAF,CONCACAF Champions League,Round of 16,20.30 Los Angeles FC,LD Alajuelense,1,2
,2023,CONCACAF,CONCACAF Champions League,Round of 16,18.00 Club León,Tauro FC,2,0
,2023,CONCACAF,CONCACAF Champions League,Round of 16,20.15 CF Pachuca,Motagua,1,1
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Philadelphia Union,Atlas Guadalajara,1,0
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 Club León,Violette AC,5,0
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Motagua,UANL Tigres,0,1
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 Vancouver Whitecaps,Los Angeles FC,0,3
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,18.00 Violette AC,Club León,2,1
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.15 Los Angeles FC,Vancouver Whitecaps,3,0
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 Atlas Guadalajara,Philadelphia Union,2,2
,2023,CONCACAF,CONCACAF Champions League,Quarterfinals,20.00 UANL Tigres,Motagua,5,0
,2023,CONCACAF,CONCACAF Champions League,Semifinals,20.00 UANL Tigres,Club León,2,1
,2023,CONCACAF,CONCACAF Champions League,Semifinals,19.00 Philadelphia Union,Los Angeles FC,1,1
,2023,CONCACAF,CONCACAF Champions League,Semifinals,20.00 Los Angeles FC,Philadelphia Union,3,0
,2023,CONCACAF,CONCACAF Champions League,Semifinals,20.00 Club León,UANL Tigres,3,1
,2023,CONCACAF,CONCACAF Champions League,Final,20.00 Club León,Los Angeles FC,2,1
,2023,CONCACAF,CONCACAF Champions League,Final,19.00 Los Angeles FC,Club León,0,1
,2024-25,CAF,CAF Champions League,Qual. Round 1,18.00 AS Arta,Dekedaha FC,0,2
,2024-25,CAF,CAF Champions League,Qual. Round 1,19.00 Milo FC,FC Nouadhibou,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,20.00 Mbabane Swallows,Ferroviário da Beira,1,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,16.00 Vital'O,Young Africans,0,4
,2024-25,CAF,CAF Champions League,Qual. Round 1,Ngezi Platinum FC,AS Maniema Union,0,0
,2024-25,CAF,CAF Champions League,Qual. Round 1,African Stars,Jwaneng Galaxy,1,0
